Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-07-17,26000,26220,25560,26100,297233,0.017940717628705194,44150,44200,41700,41700,1685713,-0.05334846765039725
2015-07-20,25820,26080,25460,25500,128928,-0.02298850574712641,41400,41450,40500,41350,993938,-0.008393285371702586
2015-07-21,25500,25540,24940,25260,194055,-0.009411764705882342,41300,43350,41300,42350,1361792,0.0241837968561065
2015-07-22,24880,25200,24700,25060,268323,-0.007917656373713333,42100,48500,41350,43650,6377371,0.030696576151121535
2015-07-23,24880,25060,24680,24680,208965,-0.015163607342378316,43750,44550,42150,42800,1674789,-0.019473081328751474
2015-07-24,24540,24760,24480,24580,196584,-0.004051863857374438,42700,42750,41150,41150,951124,-0.03855140186915884
2015-07-27,24580,24940,24560,24600,243040,0.0008136696501219731,40900,45650,40850,44550,2732216,0.08262454434993916
2015-07-28,24480,25020,24380,24600,267627,0.0,44200,44950,43050,43050,1620301,-0.03367003367003363
2015-07-29,25000,25500,24620,25260,274689,0.02682926829268295,43600,45550,43250,43800,1608532,0.017421602787456525
2015-07-30,25160,25200,24300,24300,308392,-0.038004750593824244,42900,42950,40850,40850,2433565,-0.06735159817351599
2015-07-31,24400,24440,23500,23700,391589,-0.024691358024691357,40800,41700,40300,40600,1217552,-0.006119951040391647
2015-08-03,23680,23680,23320,23500,196891,-0.008438818565400852,40600,41700,40550,41050,889689,0.011083743842364546
2015-08-04,23500,23740,23400,23640,256887,0.005957446808510625,41000,41800,41000,41700,741063,0.015834348355663774
2015-08-05,23640,23640,23160,23180,256050,-0.019458544839255465,41950,42500,41200,41500,723011,-0.004796163069544335
2015-08-06,23100,23120,22300,22300,403981,-0.03796376186367556,41750,42150,41100,41150,806351,-0.008433734939759074
2015-08-07,22400,22740,22300,22720,275742,0.01883408071748871,41250,41400,40550,40650,706498,-0.012150668286755817
